        3649
    1      3      4      1      2   -0.2777680321E+01      130.96317
    2      4      5      1      2   -0.6687071230E+00      123.15732
    3      5      6      1      2   -0.2695839634E+00      123.37566
    4      6      7      1      2   -0.1549916739E+00      141.50893
    5      7      8      1      2   -0.8834933027E-01      140.97911
    6      8      9      1      2   -0.5720897827E-01      145.95078
    7      9     10      1      2   -0.3930955437E-01      150.30482
    8      5      7      1      3   -0.1332032004E+01      122.25963
    9      7      9      1      3   -0.3748295127E+00      136.76812
   10      9     11      1      3   -0.1561023482E+00      142.15894
   11     11     13      1      3   -0.7200946225E-01      131.10712
   12     13     15      1      3   -0.3895128692E-01      124.06403
   13      4      5      2      3   -0.2617960568E+01      123.43264
   14      5      6      2      3   -0.6204378719E+00      114.26746
   15      6      7      2      3   -0.2870184944E+00      131.35461
   16      7      8      2      3   -0.1438643931E+00      131.34961
   17      8      9      2      3   -0.8540681103E-01      136.28373
   18      9     10      2      3   -0.5512124204E-01      140.57773
   19     10     11      2      3   -0.3526680829E-01      134.91427
   20      7     10      1      4   -0.9796258213E+00      134.16798
   21     10     13      1      4   -0.2399815900E+00      131.13481
   22     13     16      1      4   -0.8770592561E-01      119.72768
   23     16     19      1      4   -0.4820311745E-01      131.56449
   24      6      8      2      4   -0.1403249912E+01      128.79631
   25      8     10      2      4   -0.3719352013E+00      135.69561
   26     10     12      2      4   -0.1445271146E+00      131.65741
   27     12     14      2      4   -0.6476922539E-01      117.92488
   28     14     16      2      4   -0.3615446816E-01      115.15586
   29      5      6      3      4   -0.2576547658E+01      121.48009
   30      6      7      3      4   -0.6934086607E+00      127.70665
   31      7      8      3      4   -0.2789583640E+00      127.66587
   32      8      9      3      4   -0.1453975508E+00      132.74940
   33      9     10      3      4   -0.8600959737E-01      137.20156
   34     10     11      3      4   -0.5162428687E-01      131.72689
   35     11     12      3      4   -0.3346984117E-01      128.03992
   36      9     13      1      5   -0.7404319598E+00      134.96685
   37     13     17      1      5   -0.1619500235E+00      117.91649
   38     17     21      1      5   -0.7597381595E-01      138.23470
   39     21     25      1      5   -0.4135112312E-01      150.45071
   40      8     11      2      5   -0.9956643172E+00      136.36459
   41     11     14      2      5   -0.2245406344E+00      122.69730
   42     14     17      2      5   -0.8406771076E-01      114.76114
   43     17     20      2      5   -0.4848688326E-01      132.33900
   44      7      9      3      5   -0.1433020896E+01      131.52882
   45      9     11      3      5   -0.3765963016E+00      137.39615
   46     11     13      3      5   -0.1357238478E+00      123.63805
   47     13     15      3      5   -0.6269429603E-01      114.14707
   48     15     17      3      5   -0.3581041815E-01      114.06002
   49      6      7      4      5   -0.3031240919E+01      142.91815
   50      7      8      4      5   -0.7107893780E+00      130.90770
   51      8      9      4      5   -0.2978756034E+00      136.32339
   52      9     10      4      5   -0.1543981277E+00      140.92414
   53     10     11      4      5   -0.8456428959E-01      134.96777
   54     11     12      4      5   -0.5075581906E-01      129.51087
   55     12     13      4      5   -0.3029173966E-01      115.88199
   56     11     16      1      6   -0.5357530651E+00      121.99271
   57     16     21      1      6   -0.1432767309E+00      130.36014
   58     21     26      1      6   -0.6452806612E-01      146.73717
   59     10     14      2      6   -0.7089237473E+00      129.25359
   60     14     18      2      6   -0.1598322503E+00      116.37453
   61     18     22      2      6   -0.7417610186E-01      134.96375
   62     22     26      2      6   -0.3937220064E-01      143.25066
   63      9     12      3      6   -0.1018326923E+01      139.46842
   64     12     15      3      6   -0.2098930379E+00      114.69332
   65     15     18      3      6   -0.8600871916E-01      117.41081
   66     18     21      3      6   -0.4791116948E-01      130.76766
   67      8     10      4      6   -0.1534234151E+01      140.80639
   68     10     12      4      6   -0.3725675810E+00      135.97324
   69     12     14      4      6   -0.1270598263E+00      115.74553
   70     14     16      4      6   -0.6034037258E-01      109.86129
   71     16     18      4      6   -0.3815212609E-01      121.51861
   72      7      8      5      6   -0.3023463157E+01      142.55144
   73      8      9      5      6   -0.7617029310E+00      140.28457
   74      9     10      5      6   -0.3202574887E+00      146.52543
   75     10     11      5      6   -0.1540421021E+00      140.67782
   76     11     12      5      6   -0.8320537025E-01      132.79888
   77     12     13      5      6   -0.4578858075E-01      116.83623
   78     13     14      5      6   -0.2989167505E-01      114.35153
   79     13     19      1      7   -0.4460549479E+00      121.82263
   80     19     25      1      7   -0.1346321078E+00      146.96869
   81     25     31      1      7   -0.5153727283E-01      140.61580
   82     12     17      2      7   -0.5303394640E+00      120.76001
   83     17     22      2      7   -0.1512201869E+00      137.58748
   84     22     27      2      7   -0.6404026193E-01      145.61975
   85     11     15      3      7   -0.7196592819E+00      131.21093
   86     15     19      3      7   -0.1675235100E+00      121.97457
